,Cnsmr,Manuf,HiTec,Hlth ,Other
197509,-2.84,-3.61,-1,-6.54,-6.31
197510,9.83,3.5,7.79,10.68,3.9
197511,4.06,1.59,4.73,5.12,3.55
197512,-1.67,-0.48,-0.81,-6.36,-0.29
197601,11.72,12.92,14.97,7.78,12.92
197602,2.24,-0.5,2.05,-6.52,3.13
197603,2.5,2.91,2.11,6.52,1.93
197604,-1.54,-0.08,-1.57,-4.31,-1.56
197605,-3.62,0.77,-0.75,-2.81,-1.66
197606,3.19,4.21,6.55,3.66,5.4
197607,-0.5,-0.78,-0.98,-0.38,-0.04
197608,0.26,-0.71,1.19,2.17,-1.14
197609,2.16,3.1,2.41,3.62,0.93
197610,-1.26,-2.6,-2.36,-3.75,-0.46
197611,1.84,0.61,2.23,-9.69,2.05
197612,5.76,6.1,3.69,6.26,8.4
197701,-5.01,-2.83,-2.34,-8.82,-4.16
197702,-2.24,-1.89,0,-0.21,-1.75
197703,-2.44,-0.82,-0.44,-1.79,-0.1
197704,0.23,1.45,-1.81,-5.2,2.14
197705,-1.3,-1.31,-0.29,-1.88,-0.85
197706,4.88,4.7,5.37,9.04,5.31
197707,-0.42,-2.19,-0.44,-2.24,-0.35
197708,1.05,-3.11,-0.62,3.79,-1.25
197709,0.42,0.16,0.29,-0.84,-0.08
197710,-3.67,-3.98,-3.95,-1.68,-4.43
197711,4.01,4.04,4.01,6.02,6.47
197712,-0.58,0.88,2.31,0.59,0.65
197801,-6.23,-6.04,-4.5,-1.86,-5.31
197802,0.06,-1.69,-0.48,-3,-0.15
197803,4.42,3.02,0.68,4.16,5.42
197804,8.9,7.69,8.97,9.2,9.34
197805,2.05,2.43,0.83,5.25,2.54
197806,-1.58,-1.76,-0.82,1.1,-0.26
197807,4.36,5.51,5.75,8.87,6.55
197808,4.19,3.63,5.08,1,6.38
197809,-1.07,0.33,-2.15,-2.75,-1.26
197810,-12.22,-10.33,-8.38,-12.84,-14.06
197811,1.86,3.95,4.24,5.18,2.5
197812,0.36,1.43,3.94,3.42,1.32
197901,4.88,5.39,4.06,1.42,6.09
197902,-3.79,-2.29,-2.29,-4.52,-3.25
197903,5.48,7.07,4.75,5.05,8.17
197904,1.26,0.75,-0.57,0.42,1.51
197905,-1.64,-1.67,-1.23,-2.64,-0.31
197906,3.11,5.75,1.02,4.83,7.05
197907,1.8,1.93,-1,0.14,3.3
197908,7.02,6.79,4.3,8.54,5.85
197909,-0.85,1.44,-1.99,-0.54,-0.65
197910,-8.58,-5.88,-6.78,-4.34,-10.15
197911,2.47,6.89,6.66,8.75,7
197912,3.29,2.83,0.61,2.08,4.18
198001,4.33,9.04,4.06,-1.29,5.51
198002,-5.26,3.73,-2.87,-4.63,-3.33
198003,-8.51,-13.81,-9.32,-2.84,-12.26
198004,3.06,6.12,3.07,4.28,6.06
198005,7.68,5.02,4.89,6.96,8.11
198006,2.75,4.2,1.69,0.21,5.12
198007,9.78,4.94,10.2,8.89,6.63
198008,1.57,2.11,4.57,0.3,2.65
198009,0.75,4.18,0.78,3.6,3.62
198010,-0.73,4.09,0.23,-1.29,1.5
198011,2.58,15.84,6.68,8.81,7.48
198012,-0.34,-6.5,-0.62,4.61,-0.7
198101,0.33,-6.11,-4.28,-1.57,-2.55
198102,3.64,1.33,1,1.85,1.7
198103,8.68,1.73,3.82,5.87,8.44
198104,1.91,-3.99,1.97,3,0.93
198105,2.76,-1.57,5.14,3.47,2.51
198106,-1.72,1.86,-5.16,-5.58,-0.97
198107,-2.15,2.56,-2.45,-3.89,-2.68
198108,-5.93,-5.73,-5.15,-7.75,-5.5
198109,-2.95,-9.17,-1.62,-1.33,-5.44
198110,4.14,6.52,5.46,7.95,7.14
198111,2.68,5.77,1.93,3.93,5.07
198112,-1.3,-3.88,-0.52,-0.75,-3.76
198201,-0.03,-5.09,2.03,1.45,-3.25
198202,-1.77,-6.88,-5.39,-1.81,-3.9
198203,3.3,-1.81,-1.63,-2.57,-1.31
198204,5.66,3.78,4.7,7.33,3.72
198205,-2.66,-1.18,-3.98,-3.05,-5.46
198206,2.3,-4.01,-2.4,-0.73,-2.43
198207,-0.21,-4.46,1.42,0.85,-3.07
198208,11.48,12.05,12.12,12.38,11.32
198209,3.55,0.45,1.14,1.37,4.17
198210,14.22,8.66,14.05,8.35,15.66
198211,8.02,1.14,9.19,5.31,7.57
