,SMALL LoBO,ME1 BO2,SMALL HiBO,BIG LoBO,ME2 BO2,BIG HiBO
20050926,0.9,0.94,0.81,0.81,0.85,0.88
20050927,-0.61,-0.51,-0.54,-0.41,-0.36,-0.42
20050928,0.32,0.36,0.6,0.56,0.67,0.71
20050929,0.68,0.46,0.44,0.93,0.44,0.54
20050930,0.15,0.15,0.11,0.07,0.22,-0.21
20051003,-0.01,-0.08,0.07,-0.22,-0.02,-0.22
20051004,-0.19,-0.15,-0.24,-0.25,-0.17,-0.59
20051005,-1.33,-1.16,-1.14,-1.03,-0.98,-1.41
20051006,-0.78,-0.58,-0.71,-0.45,-0.35,-0.77
20051007,0.22,0.02,0.14,-0.15,-0.16,0.07
20051010,-0.37,-0.33,-0.28,-0.43,-0.34,-0.47
20051011,-0.47,-0.14,0,-0.15,-0.14,0.23
20051012,-0.48,-0.27,-0.32,-0.57,-0.48,-0.55
20051013,-0.34,-0.62,-0.83,-0.23,-0.53,-0.83
20051014,0.59,0.47,0.47,0.75,0.58,0.55
20051017,-0.14,-0.28,-0.21,-0.1,-0.21,0.09
20051018,-0.92,-0.87,-1,-0.82,-0.64,-1.17
20051019,0.12,-0.09,-0.4,0.34,0.09,0.08
20051020,-0.4,-0.15,-0.35,-0.54,-0.49,-0.75
20051021,-0.09,-0.31,-0.3,0.04,-0.26,-0.26
20051024,1.07,1.01,1.11,1.25,1.24,1.34
20051025,0.47,0.63,0.91,0.11,0.38,0.54
20051026,-0.2,-0.03,-0.03,-0.11,-0.14,-0.27
20051027,-0.64,-0.52,-0.41,-0.44,-0.66,-0.82
20051028,0.29,0.26,0.15,0.49,0.33,0.67
20051031,1.03,1.04,0.87,1.4,1.14,0.83
20051101,0.14,0.39,0.4,0.51,0.32,0.12
20051102,0.84,0.82,0.75,0.94,0.73,0.83
20051103,0.15,0.03,0.09,0.23,0.4,0.42
20051104,-0.21,-0.28,-0.42,-0.27,-0.22,-0.7
20051107,0.33,0.34,0.37,0.38,0.27,0.19
20051108,-0.21,-0.17,-0.06,-0.17,-0.21,-0.03
20051109,0,-0.09,-0.09,0.05,-0.01,-0.25
20051110,-0.14,-0.27,-0.44,0.24,0.36,-0.29
20051111,0.55,0.59,0.55,0.62,0.78,0.65
20051114,-0.59,-0.6,-0.57,-0.42,-0.3,-0.29
20051115,-0.68,-0.63,-0.55,-0.59,-0.29,-0.2
20051116,-0.27,-0.21,-0.11,-0.02,-0.15,-0.05
20051117,1.32,1.14,1.16,1.2,1.12,0.89
20051118,0.61,0.61,0.4,0.58,0.75,0.52
20051121,0.34,0.23,0.27,0.16,0.38,0.37
20051122,0.6,0.64,0.65,0.55,0.47,0.69
20051123,0.12,0.28,0.24,0.52,0.43,0.25
20051124,-0.14,-0.05,-0.13,-0.1,-0.13,-0.18
20051125,0,-0.09,-0.12,-0.08,0.01,0.09
20051128,-0.03,0.15,0.3,-0.06,0.02,-0.39
20051129,-0.09,0.1,0.02,-0.29,-0.35,-0.1
20051130,0.42,0.55,0.54,-0.43,-0.52,-0.43
20051201,0.99,0.85,0.7,1.15,1.07,1.1
20051202,0.44,0.65,0.55,0.4,0.47,0.47
20051205,0.34,0.54,0.76,-0.07,0.07,0.15
20051206,-0.01,0.02,0.08,0.11,0.12,0.23
20051207,-0.26,-0.39,-0.19,-0.24,-0.35,-0.46
20051208,0.11,-0.01,0.11,0.01,-0.01,0.19
20051209,0.54,0.56,0.54,0.51,0.3,0.1
20051212,0.95,1.15,1.37,0.75,0.83,0.73
20051213,-0.19,0.03,0.16,0.03,0.26,0.35
20051214,0.33,0.55,0.52,0.16,0.42,0.4
20051215,-0.11,-0.2,-0.08,-0.29,-0.33,-0.28
20051216,0.15,0.21,0.2,0.17,0.32,0.02
20051219,-0.65,-0.48,-0.35,-0.35,-0.35,-0.36
20051220,-0.22,-0.13,-0.15,-0.08,-0.17,-0.26
20051221,0.67,0.63,0.55,0.57,0.57,0.31
20051222,0.57,0.47,0.36,0.48,0.36,0.26
20051223,0.31,0.22,0.12,0.14,0.07,0.07
20051226,0.14,0.23,0.24,0.03,-0.04,0.05
20051227,-0.83,-0.78,-0.62,-0.69,-0.62,-0.75
20051228,0.49,0.47,0.45,0.27,0.22,0.24
20051229,0.33,0.49,0.56,0.19,0.15,0.13
20051230,-0.22,-0.17,-0.07,-0.46,-0.52,-0.41
20060102,0.02,-0.03,-0.01,0.04,0.04,0.08
20060103,1.63,1.58,1.74,1.76,1.64,1.9
20060104,1.31,1.25,1.18,1.18,1.08,0.94
20060105,0.33,0.29,0.27,0.06,-0.04,-0.07
20060106,1.22,1.14,1.08,1.09,0.87,1.04
20060109,0.39,0.21,0.12,0.08,0.11,0.13
20060110,0.15,-0.13,-0.2,-0.3,-0.55,-0.35
20060111,0.49,0.43,0.65,0.76,0.85,0.52
20060112,-0.1,0.1,0.03,-0.42,-0.42,-0.51
20060113,0.61,0.74,0.75,0.24,0.1,0.28
20060116,0.1,0.05,0.16,-0.16,-0.16,0.01
20060117,-1.22,-1.41,-1.63,-0.98,-0.83,-0.55
20060118,-1.67,-2,-2.14,-0.93,-0.78,-1.12
20060119,1.92,1.88,1.97,0.83,0.84,0.81
20060120,-0.46,-0.19,-0.12,-0.96,-0.93,-0.59
20060123,-0.24,-0.36,-0.61,0.13,0.3,0.34
20060124,1.03,1.03,1.27,0.25,0.28,0.13
20060125,0.12,0.31,0.22,0.1,0.07,-0.03
20060126,0.87,0.62,0.48,0.88,0.82,0.43
20060127,0.63,0.62,0.67,0.79,0.57,0.89
20060130,0.26,0.25,0.21,0.21,0.04,0.34
20060131,0.53,0.62,0.54,0.16,0.27,0.05
20060201,-0.05,-0.29,-0.32,0,-0.01,-0.27
20060202,-0.22,0.01,-0.19,-0.58,-0.38,-0.64
20060203,-0.39,-0.23,-0.15,-0.53,-0.49,-0.57
20060206,0.5,0.35,0.45,0.07,0.02,-0.05
20060207,-0.3,-0.05,-0.17,-0.34,-0.31,-0.64
20060208,-0.58,-0.78,-0.84,-0.15,-0.08,-0.22
20060209,0.26,0.26,0.14,0.21,0.5,0.32
20060210,-0.5,-0.59,-0.66,-0.14,-0.3,-0.47
20060213,-1.46,-1.6,-1.72,-0.54,-0.36,-0.4
20060214,0.73,0.55,0.58,0.77,0.8,0.65
20060215,0.1,-0.05,-0.03,-0.09,-0.09,0.03
20060216,0.41,0.06,0.16,0.69,0.75,0.69
20060217,-0.32,-0.57,-0.54,-0.13,-0.1,0.02
20060220,-0.61,-0.92,-0.77,-0.15,-0.09,0.11
20060221,0.31,0.69,0.89,-0.03,0.11,0.13
20060222,0.58,0.55,0.52,0.77,0.72,0.13
20060223,0.88,1.01,1.15,0.28,0.3,0.13
20060224,0.62,0.41,0.56,0.25,0.1,0.19
20060227,0.32,0.37,0.07,0.43,0.5,0.24
20060228,-0.31,-0.22,-0.26,-0.72,-0.58,-0.59
20060301,0.4,0.05,0.01,0.59,0.42,0.53
20060302,0.14,0.07,0.08,-0.01,0.08,0.11
20060303,-0.37,-0.37,-0.21,-0.23,-0.27,-0.06
20060306,-0.54,-0.33,-0.37,-0.3,-0.35,-0.52
20060307,-1.4,-1.36,-1.48,-0.83,-0.84,-0.8
20060308,-0.44,-0.46,-0.53,-0.29,-0.2,-0.09
20060309,0.32,0.49,0.54,0.11,0.07,0.18
20060310,0.59,0.52,0.4,0.51,0.71,0.55
20060313,1.01,1.13,1.15,0.93,0.68,0.85
20060314,0.82,0.89,0.83,0.8,0.88,0.83
20060315,0.69,0.62,0.7,0.65,0.51,0.49
20060316,0.16,0.3,0.15,0.23,0.33,0.4
20060317,0.58,0.64,0.52,0.48,0.49,0.15
20060320,0.29,0.17,0.08,0.19,0.1,-0.12
20060321,-0.76,-0.67,-0.71,-0.65,-0.49,-0.51
20060322,0.63,0.72,0.6,0.23,0.22,0.53
20060323,-0.11,-0.24,-0.07,-0.63,-0.45,-0.48
20060324,0.77,0.64,0.62,0.48,0.42,0.59
20060327,0.4,0.31,0.32,-0.18,-0.23,-0.28
20060328,-0.28,-0.24,-0.29,-0.54,-0.51,-0.47
20060329,1.07,0.88,0.91,0.85,0.58,0.59
20060330,0.82,0.89,0.92,0.72,0.94,0.68
20060331,0.05,-0.05,-0.12,-0.4,-0.46,-0.67
20060403,0.24,0.55,0.57,0.62,0.52,0.75
20060404,0.42,0.57,0.7,0.51,0.5,0.37
20060405,0.23,0.27,0.4,0.51,0.57,0.53
20060406,0.32,0.35,0.46,0.07,0.06,0
20060407,-0.71,-0.63,-0.61,-0.97,-0.95,-0.95
20060410,-0.19,0.1,0.05,-0.01,0.06,0.35
20060411,-0.75,-0.55,-0.37,-0.86,-0.69,-0.56
20060412,-0.14,-0.38,-0.3,-0.26,-0.36,-0.43
20060413,0.41,0.22,0.29,0.36,0.15,0.17
20060414,-0.04,-0.08,-0.1,-0.08,-0.01,-0.05
20060417,0.1,0.18,0.34,0.09,0.3,0.4
20060418,1.73,1.63,1.52,1.38,1.35,1.41
20060419,0.9,0.69,0.68,0.61,0.67,0.73
20060420,-0.53,-0.48,-0.68,-0.13,0.04,-0.23
20060421,0.26,0.43,0.32,0.26,0.5,0.59
20060424,-0.38,-0.18,-0.18,-0.36,-0.28,-0.16
20060425,0.28,0.3,0.51,-0.07,-0.11,-0.1
20060426,0.36,0.41,0.42,0.39,0.46,0.12
20060427,0.01,0.16,0,0.43,0.45,0.18
20060428,0.42,0.55,0.54,-0.14,0.18,0.25
20060501,-0.15,-0.1,-0.19,-0.21,-0.29,-0.05
20060502,0.73,0.84,0.89,0.89,0.83,0.86
20060503,0.14,0.18,0.15,-0.36,-0.21,-0.52
20060504,0.55,0.59,0.47,0.48,0.52,0.39
20060505,0.82,0.8,1.06,1.12,1.22,0.94
20060508,0.38,0.54,0.56,0.28,0.24,0.22
20060509,0.28,0.3,0.41,0.3,0.31,0.45
20060510,-0.24,-0.18,-0.18,-0.07,-0.28,-0.06
20060511,-1.12,-0.79,-0.77,-0.87,-0.83,-0.57
20060512,-1.12,-1.15,-1.2,-1.19,-1.1,-1.2
20060515,-2.05,-2.08,-2.27,-0.99,-1.09,-1.07
20060516,-0.44,-0.45,-0.35,-0.29,-0.01,0.13
20060517,-1.45,-1.42,-1.55,-1.95,-2.18,-2.07
20060518,-1.11,-0.83,-1.01,-0.7,-0.41,-0.35
20060519,0,-0.22,-0.05,-0.02,0.02,-0.26
20060522,-1.99,-1.78,-2.08,-1.3,-1.23,-1.01
20060523,-0.11,-0.04,0.26,0,0.15,0.27
20060524,-0.54,-0.48,-0.7,-0.36,-0.42,-0.57
20060525,1.19,1.06,1.33,1.23,0.9,1.32
20060526,0.94,0.86,0.94,1.01,1,0.96
20060529,0.38,0.39,0.28,0.08,0.1,0.22
20060530,-1.09,-0.93,-0.98,-1.07,-1.06,0.6
20060531,-0.07,-0.11,-0.11,0.18,0.17,-1.53
20060601,0.49,0.24,0.05,0.75,0.78,0.66
20060602,0.84,0.93,1.12,0.87,0.85,0.82
20060605,-1.35,-1.13,-1.01,-1.28,-1.28,-1.3
20060606,-1.83,-1.99,-1.94,-1.67,-1.47,-1.19
20060607,-0.79,-1,-1.07,-0.52,-0.35,-0.76
20060608,-2.4,-2.71,-2.62,-1.84,-1.79,-1.77
20060609,0.37,0.8,0.83,0.46,0.55,0.42
20060612,-1.26,-0.8,-0.69,-1.2,-1.1,-0.88
20060613,-2.74,-2.71,-3.02,-2.16,-2.23,-1.95
20060614,0.53,0.54,0.61,0.41,0.52,0.62
20060615,2.97,2.76,2.89,2.59,2.23,2.02
20060616,0.1,0.28,0.34,-0.07,0.08,0.09
20060619,-0.77,-0.57,-0.59,-0.31,-0.49,-0.82
20060620,-0.22,-0.37,-0.28,-0.07,0.02,0.12
20060621,0.89,0.51,0.65,0.83,0.76,0.91
20060622,0.08,0.08,0.08,-0.13,-0.18,-0.06
20060623,-0.15,-0.2,-0.2,-0.28,-0.32,0.09
20060626,0.61,0.75,0.61,0.6,0.52,0.34
20060627,-0.65,-0.25,-0.27,-0.81,-0.74,-0.47
20060628,-0.45,-0.43,-0.45,0.06,-0.15,0.12
20060629,2.41,2.11,2.14,2.33,2.38,2.27
20060630,1.73,1.76,1.66,1.16,1.35,1.27
20060703,0.49,0.56,0.72,0.62,0.56,0.64
20060704,0.3,0.19,0.35,0.31,0.15,0.13
20060705,-1.16,-1.09,-1.35,-1.33,-1.26,-1.07
20060706,0.22,0.33,0.2,0.33,0.5,0.54
20060707,-0.36,-0.24,-0.27,-0.29,-0.09,-0.1
20060710,-0.41,-0.31,-0.41,0.08,0.13,-0.07
20060711,0.12,-0.03,-0.23,-0.18,-0.18,0
20060712,-1.17,-1.29,-1.04,-0.97,-0.91,-0.83
20060713,-1.23,-1.2,-1.05,-1.37,-1.42,-1.04
20060714,-1.13,-1.16,-1.23,-1.24,-1.23,-0.89
20060717,-1.29,-1.2,-1.42,-0.74,-0.74,-1.12
20060718,-0.83,-0.94,-1.34,-0.64,-0.38,-0.43
20060719,1.52,1.49,1.37,1.83,2.18,1.81
20060720,-0.07,0.24,0.53,0.21,0.23,0
20060721,-0.83,-0.69,-0.53,-0.73,-0.4,-0.66
20060724,0.78,0.57,0.34,1.25,1.22,1.21
20060725,0.42,0.35,0.15,0.45,0.45,0.43
20060726,0.4,0.16,0.35,0.42,0.49,0.57
20060727,-0.01,0.16,0.23,0.43,0.32,0.24
20060728,1.2,1.42,1.21,1.43,1.22,1.11
20060731,0.57,0.66,0.85,0.03,-0.07,0.08
20060801,-0.37,-0.28,-0.2,-0.44,-0.29,-0.27
20060802,0.58,0.5,0.57,0.58,0.56,0.63
20060803,0.05,0.23,0.18,-0.33,0,-0.19
20060804,0.22,0.27,0.42,0.48,0.68,0.42
20060807,-0.88,-0.88,-0.98,-0.96,-0.94,-0.72
20060808,-0.32,-0.28,-0.17,0.07,0.03,0.06
20060809,-0.12,0.03,-0.06,0.18,0.21,0.29
20060810,-0.11,0.05,-0.11,-0.19,-0.22,-0.29
20060811,-0.62,-0.52,-0.57,-0.53,-0.5,-0.51
20060814,0.25,0.29,0.28,0.53,0.48,0.29
20060815,1.27,1.24,1.12,1.36,1.41,1.02
20060816,1.09,1.01,1.27,1.13,1.14,0.77
20060817,0.24,0.26,0.18,0.26,0.11,0.02
20060818,0.3,0.24,0.29,0.14,0.12,0.22
20060821,-0.06,-0.12,-0.06,-0.28,-0.24,0.04
20060822,0.13,0.01,0.03,-0.05,0,0.03
20060823,-0.26,-0.4,-0.13,-0.26,-0.38,-0.49
20060824,-0.13,-0.35,-0.3,-0.14,-0.09,-0.11
20060825,-0.02,-0.12,-0.01,-0.17,-0.18,-0.08
20060828,0.06,0.05,-0.06,0.2,0.41,0.26
20060829,0.86,0.77,0.78,0.77,0.61,0.33
20060830,0.39,0.27,0.14,0.31,0.3,0.07
20060831,0.32,0.27,0.2,0.19,0.08,-0.01
20060901,0.32,0.36,0.43,0.51,0.56,0.54
20060904,0.53,0.63,0.76,0.47,0.52,0.49
20060905,0.31,0.29,0.28,-0.07,-0.23,-0.07
20060906,-1.09,-0.96,-0.87,-1.01,-0.85,-1.24
20060907,-0.92,-0.91,-0.94,-0.94,-1.04,-0.99
20060908,-0.12,-0.03,-0.21,0.14,0.16,-0.12
20060911,-0.85,-0.61,-0.76,-0.39,-0.24,-0.75
20060912,0.54,0.45,0.31,0.76,0.87,0.54
20060913,0.31,0.48,0.31,0.3,0.43,0.59
20060914,0.05,0.04,0.05,0.11,0.22,-0.06
20060915,-0.09,-0.03,0.05,0.2,0.16,-0.23
20060918,0.09,0.06,0.18,0,0.11,0.43
20060919,-0.34,-0.29,-0.13,-0.5,-0.34,-0.47
20060920,0.28,0.39,0.24,0.47,0.71,0.16
20060921,0.26,0.39,0.55,0.28,0.36,0.38
20060922,-0.79,-0.84,-0.62,-0.54,-0.68,-0.66
20060925,0.2,0.16,-0.03,0.3,0.4,0.1
20060926,-0.01,-0.07,-0.14,0.49,0.47,0.7
20060927,0.8,0.66,0.71,0.46,0.57,0.91
20060928,0.25,0.27,0.36,0.19,0.19,0.34
20060929,-0.24,-0.39,-0.11,-0.03,-0.2,-0.32
20061002,-0.07,0.13,0.09,0.1,0.25,0.06
20061003,-0.52,-0.43,-0.54,-0.16,0.06,-0.63
20061004,0.45,0.35,0.27,0.72,0.75,0.62
20061005,0.96,0.81,0.89,0.72,0.53,0.8
20061006,-0.57,-0.69,-0.82,-0.48,-0.55,-0.49
20061009,0.24,0.17,0.19,0.04,0.1,0.13
20061010,-0.16,-0.22,-0.24,0.12,0.08,0.09
20061011,-0.54,-0.66,-0.68,-0.27,-0.17,-0.22
20061012,1.13,1.12,1.06,0.73,0.93,0.86
20061013,0.55,0.64,0.68,0.31,0.02,0.35
20061016,0.88,1.02,1.07,0.38,0.26,0.89
20061017,-0.31,-0.3,-0.29,-0.61,-0.59,-0.49
20061018,0.13,0.19,0.36,0.27,0.35,0.34
20061019,0.87,0.81,0.89,0.43,0.29,0.64
20061020,-0.23,-0.2,-0.06,0,0.25,0.08
20061023,0.01,-0.03,0.08,0.27,0.32,0.33
20061024,-0.06,0.06,0.08,0.04,-0.01,0.2
20061025,0.5,0.55,0.35,0.27,0.33,0.69
20061026,0.85,0.86,0.9,0.99,0.63,0.6
20061027,-0.34,-0.34,-0.16,-0.44,-0.34,-0.37
20061030,-0.21,-0.37,-0.4,-0.22,-0.36,-0.52
20061031,0.52,0.47,0.61,0.26,0.16,0.27
20061101,-0.83,-0.79,-0.55,-0.3,-0.23,-0.27
20061102,-0.18,-0.29,-0.18,-0.05,-0.1,-0.09
20061103,0.21,-0.03,-0.12,-0.12,-0.27,-0.05
20061106,0.62,0.6,0.49,0.92,1.01,0.9
20061107,0.38,0.36,0.45,0.54,0.58,0.39
20061108,-0.05,-0.18,-0.24,0.01,-0.15,-0.01
20061109,-0.19,-0.14,-0.05,-0.02,-0.22,-0.03
20061110,0.27,0.21,0.14,0.12,0.07,-0.08
20061113,-0.28,-0.35,-0.5,0.14,0,-0.22
20061114,0.93,1.21,1.08,0.54,0.47,0.54
20061115,0.44,0.39,0.33,0.36,0.32,0.43
20061116,-0.23,-0.14,-0.28,-0.19,0.11,-0.2
20061117,-0.14,-0.23,-0.26,-0.11,-0.06,-0.18
20061120,-0.48,-0.79,-0.78,-0.25,-0.37,-0.25
20061121,0.26,0.32,0.32,0.29,0.27,0.35
20061122,0.92,1.08,1.28,0.8,0.74,0.66
20061123,0.14,0.15,0.18,0.07,0,0.01
20061124,0.32,0.32,0.33,-0.14,-0.11,0.04
20061127,-0.83,-0.78,-0.52,-0.99,-1.11,-0.86
20061128,0.06,0.05,0.25,0.05,0.05,0.3
20061129,0.89,1.04,1,0.96,0.92,1.15
20061130,0.82,0.72,0.99,0.64,0.26,0.33
20061201,0.09,0.02,0.26,-0.13,-0.12,0.05
20061204,0.86,0.86,0.69,0.83,0.66,0.78
20061205,0.12,0.13,0.13,0.45,0.2,0.5
20061206,0.04,0.08,0.08,0.04,0.09,-0.14
20061207,-0.02,0.03,0.17,0.07,0.14,0.01
20061208,-0.33,-0.42,-0.4,-0.33,-0.17,-0.4
20061211,0.29,0.43,0.48,0.57,0.5,0.31
20061212,-0.12,-0.04,-0.03,0.16,0.29,0.09
20061213,-0.09,-0.02,0,-0.05,0.06,0.15
20061214,0.33,0.33,0.29,0.51,0.56,0.61
20061215,-0.13,-0.11,-0.14,0.19,0.16,-0.25
20061218,-0.42,-0.32,-0.13,-0.07,0.06,-0.35
20061219,-0.05,-0.07,-0.04,-0.09,-0.03,0.14
20061220,0.53,0.52,0.56,0.21,0.21,0.03
20061221,-0.15,-0.07,-0.16,-0.2,-0.1,-0.34
20061222,-0.18,-0.25,-0.24,-0.5,-0.47,-0.56
20061225,-0.12,-0.11,-0.08,-0.06,-0.01,-0.04
20061226,0.21,0.35,0.26,0.12,0.12,0.06
20061227,0.93,0.85,0.83,0.84,0.91,0.93
20061228,0.09,-0.07,0.15,-0.03,0.01,0.08
20061229,0.04,-0.1,0.02,-0.13,-0.11,-0.18
20070101,0.04,0.04,0.05,0.03,0.03,0.04
20070102,0.49,0.46,0.65,0.69,0.67,0.68
20070103,-0.39,-0.36,-0.46,-0.26,-0.25,-0.82
20070104,-0.22,-0.16,-0.31,-0.09,-0.17,-0.49
20070105,-0.86,-0.99,-0.94,-0.81,-0.98,-0.87
20070108,0.15,0.14,0.16,0.2,0.13,0.16
20070109,0.01,0.13,0.27,0.09,0.13,-0.07
20070110,-0.5,-0.6,-0.55,-0.42,-0.48,-0.68
20070111,0.52,0.5,0.32,0.57,0.73,0.62
20070112,0.99,0.91,0.94,0.74,0.74,0.83
20070115,0.65,0.65,0.74,0.43,0.4,0.45
20070116,-0.08,-0.12,-0.2,-0.17,-0.26,-0.33
20070117,0.02,0.16,0.25,-0.04,0.02,0.18
20070118,-0.41,-0.16,0.15,-0.18,-0.11,-0.1
20070119,0.53,0.41,0.58,0.44,0.28,0.51
20070122,-0.18,-0.17,0.03,-0.14,-0.35,-0.28
20070123,0.58,0.5,0.41,0.29,0.27,0.62
20070124,0.51,0.57,0.3,0.64,0.73,0.65
20070125,-0.71,-0.76,-0.71,-0.73,-0.86,-0.93
20070126,0.02,-0.05,-0.15,-0.4,-0.38,-0.18
20070129,0.5,0.38,0.43,0.26,0.14,0.23
20070130,0.28,0.37,0.15,0.5,0.45,0.46
20070131,0.3,0.37,0.38,0.3,0.43,0.28
20070201,0.76,0.71,0.71,0.77,0.71,0.94
20070202,0.06,0.1,0.26,0.24,0.1,0
20070205,-0.05,-0.11,0.03,-0.2,-0.24,-0.15
20070206,0.5,0.7,0.65,0.45,0.52,0.49
20070207,0.32,0.16,0.19,0.37,0.13,0.23
20070208,-0.14,-0.06,-0.3,-0.18,-0.38,-0.3
20070209,-0.15,-0.25,-0.21,-0.27,-0.23,-0.05
20070212,-0.26,-0.36,-0.23,-0.59,-0.47,-0.58
20070213,0.57,0.68,0.7,0.84,0.76,0.88
20070214,0.7,0.67,0.95,0.96,1.11,1.1
20070215,0.48,0.47,0.45,0.39,0.28,0.28
20070216,0.2,0.2,0.04,0.05,-0.07,-0.17
20070219,0.28,0.26,0.36,0.27,0.25,0.16
20070220,0.19,0.21,0.17,0.03,0,-0.1
20070221,0.13,0.09,0.05,-0.27,-0.26,-0.24
20070222,0.25,0.34,0.24,0.2,0.1,0.01
20070223,0.41,0.39,0.48,0.1,0.02,0.43
20070226,0.19,0.31,0.25,0.05,0.07,0.4
20070227,-2.32,-1.88,-2.26,-2.55,-2.45,-2.43
20070228,-1.03,-1.18,-1.25,-0.72,-0.75,-0.8
20070301,-0.55,-0.37,-0.67,-0.71,-0.65,-0.72
20070302,-0.82,-0.6,-0.57,-0.67,-0.58,-0.76
20070305,-2.56,-2.52,-2.9,-1.72,-1.58,-1.56
20070306,1.82,1.75,1.92,1.32,1.39,1.42
20070307,0.39,0.56,0.67,0.42,0.34,0.53
20070308,0.69,0.61,0.97,0.88,0.81,0.8
20070309,0.16,0.2,-0.03,0.11,0.02,0.08
20070312,0.84,0.87,0.82,0.45,0.38,0.39
20070313,-1.09,-0.87,-0.99,-1.34,-1.38,-1.23
20070314,-1.03,-1.1,-1.28,-1.12,-1.15,-0.84
20070315,0.98,0.93,1.01,0.89,1.1,1.03
20070316,0.12,0.01,0.1,0.08,-0.02,0.08
20070319,0.55,0.63,0.49,1.12,1.14,1.06
20070320,0.71,0.7,0.7,0.7,0.82,0.76
20070321,1.01,0.99,0.89,1.2,1.32,1.09
20070322,0.37,0.37,0.47,0.44,0.4,0.63
20070323,0.19,0.03,-0.01,0.1,0.14,0.24
20070326,0.24,0.34,0.34,-0.03,-0.14,0.02
20070327,-0.19,-0.27,-0.1,-0.25,-0.33,-0.21
20070328,-0.19,-0.25,-0.36,-0.65,-0.83,-0.42
20070329,0.2,0.24,0.06,0.34,0.44,0.62
20070330,0.59,0.42,0.48,0.19,0.13,0.04
20070402,0.01,0,-0.01,0.32,-0.08,0.26
20070403,0.49,0.35,0.37,0.88,0.83,0.73
20070404,0.58,0.62,0.62,0.42,0.49,0.61
20070405,0.47,0.32,0.36,0.27,0.3,0.24
20070406,-0.21,-0.28,-0.34,-0.21,-0.21,-0.21
20070409,0.19,0.05,0.09,0.15,0.12,0.11
20070410,0.67,0.79,0.86,0.59,0.55,0.68
20070411,-0.22,-0.19,-0.22,-0.22,-0.39,-0.26
20070412,0.43,0.4,0.3,0.25,0.23,0.45
20070413,0.33,0.31,0.15,0.24,0.38,0.39
20070416,0.93,0.81,0.63,0.94,1.2,0.92
20070417,-0.02,0,0.22,0.16,0.17,0.33
20070418,0,0.19,0.15,0.14,0.28,-0.13
20070419,-0.79,-0.66,-0.59,-0.58,-0.41,-0.44
20070420,0.82,0.68,0.43,0.69,0.94,0.83
20070423,-0.09,-0.05,0.13,-0.1,-0.18,-0.16
20070424,-0.06,-0.06,-0.17,-0.15,-0.21,-0.24
20070425,0.32,0.25,0.47,0.61,0.61,0.71
20070426,-0.08,0.1,0.02,-0.11,0.03,-0.11
20070427,0.04,0.12,0.23,-0.13,0.08,-0.19
20070430,-0.52,-0.43,-0.14,-0.34,-0.38,-0.28
20070501,-0.24,-0.13,-0.17,-0.22,-0.1,-0.08
20070502,0.77,0.64,0.54,0.73,0.61,0.58
20070503,-0.02,0.03,-0.07,0.16,0.16,0.23
20070504,0.5,0.48,0.68,0.68,0.5,0.65
20070507,0.31,0.34,0.42,0.52,0.43,0.39
20070508,-0.52,-0.31,-0.4,-0.53,-0.52,-0.49
20070509,0.13,0.3,0.38,0.34,0.26,0.33
20070510,-0.92,-0.73,-0.69,-0.84,-1.04,-1.16
20070511,0.44,0.29,0.14,0.5,0.59,0.76
20070514,-0.26,-0.2,0.05,-0.07,-0.08,0.08
20070515,-0.42,-0.26,-0.19,0.09,0.15,0.16
20070516,-0.13,-0.16,-0.27,0.01,0.1,0.12
20070517,-0.19,-0.13,-0.1,-0.11,-0.08,0.18
20070518,0.4,0.29,0.06,0.44,0.57,0.78
20070521,0.53,0.5,0.45,0.18,0.02,0.16
20070522,0.56,0.43,0.52,0.25,0.14,0.01
20070523,0.33,0.18,0.32,0.38,0.24,0.43
20070524,-0.92,-0.82,-0.79,-0.95,-0.78,-0.89
20070525,0.14,0.08,-0.09,0.01,0.12,0.17
20070528,0.35,0.28,0.34,0.2,0.17,0.13
20070529,0.33,0.41,0.31,0.2,0.26,0.16
20070530,-0.12,0.05,-0.09,0.27,0.15,0.31
20070531,0.86,0.9,0.89,0.63,0.55,0.5
20070601,0.61,0.59,0.66,0.56,0.41,0.81
20070604,0.37,0.4,0.53,0.21,0.17,0.31
20070605,-0.18,-0.19,-0.06,-0.34,-0.33,-0.34
20070606,-0.51,-0.52,-0.51,-0.89,-1.01,-1.04
20070607,-1.15,-1.19,-1.16,-1.5,-1.53,-1.47
20070608,-0.06,-0.18,-0.37,-0.03,0.2,0.11
20070611,0.29,0.27,0.26,0.43,0.46,0.37
20070612,-0.82,-0.74,-0.81,-0.88,-0.93,-0.87
20070613,0.23,0.19,0.01,0.54,0.64,0.72
20070614,0.72,0.66,0.76,0.83,0.7,1.19
20070615,0.9,0.93,0.96,0.9,0.98,1.14
20070618,0.14,0.28,0.38,0.08,0.06,0.12
20070619,0.13,0.16,0.01,0.02,0.1,-0.14
20070620,-0.34,-0.24,-0.07,-0.48,-0.51,-0.54
20070621,-0.07,-0.09,-0.28,-0.12,-0.2,0.12
20070622,-0.07,0.03,0.07,-0.51,-0.64,-0.57
20070625,-0.63,-0.64,-0.5,-0.42,-0.35,-0.26
20070626,-0.32,-0.14,-0.22,-0.39,-0.4,-0.34
20070627,0.18,0.1,-0.14,0.04,-0.04,0.14
20070628,0.7,0.75,0.79,0.43,0.46,0.63
