,SMALL LoBO,ME1 BO2,SMALL HiBO,BIG LoBO,ME2 BO2,BIG HiBO
19910116,-0.38,-0.34,-0.24,-1.18,-0.94,-1.04
19910117,2.61,3,3.14,4.9,4.98,5.58
19910118,0.36,0.58,0.59,0.58,1.03,1.12
19910121,0.08,0.04,0.29,-0.37,-0.39,-0.63
19910122,-0.28,-0.21,-0.51,-0.33,-0.38,-0.37
19910123,0.09,0.11,0,-0.32,-0.16,-0.49
19910124,0.53,0.53,0.54,1.08,1.19,1.23
19910125,0.43,0.39,0.55,0.5,0.72,0.71
19910128,0.4,0.65,0.49,0.25,0.2,0.12
19910129,0.44,0.21,0.39,0.08,0.14,0.02
19910130,0.77,1.06,0.79,0.87,0.64,0.61
19910131,1.03,1.03,1.03,0.88,0.67,0.6
19910201,0.66,0.53,0.68,0.1,-0.03,-0.3
19910204,1.21,1.02,0.92,1.41,1.02,1.02
19910205,1.49,1.51,1.41,2.04,1.68,1.98
19910206,1.65,1.31,1.27,1.81,1.36,1.81
19910207,0.18,0.41,0.23,0.54,0.53,0.51
19910208,0.49,0.36,0.2,0.78,0.66,0.64
19910211,1.22,1.4,1.35,1.45,1.41,1.42
19910212,0.74,0.69,0.62,0.62,0.48,0.81
19910213,1.02,0.68,0.77,0.35,0.62,0.42
19910214,0.41,0.49,0.38,-0.04,-0.02,-0.51
19910215,0.31,0.33,0.5,0.15,0.36,0.26
19910218,1.11,0.94,0.83,1.8,1.18,1.65
19910219,0.13,0.15,0.12,-0.2,-0.15,-0.43
19910220,-0.44,-0.51,-0.38,-0.99,-0.74,-1.04
19910221,0.34,0.39,0.63,0.19,-0.03,0.04
19910222,0.05,0,-0.12,-0.32,-0.37,-0.46
19910225,0.16,0.35,0.28,0.61,0.67,1
19910226,0.01,-0.15,-0.16,-0.56,-0.79,-0.83
19910227,0.43,0.4,0.3,0.53,0.38,0.28
19910228,0.83,0.77,0.95,0.71,0.41,0.29
19910301,-0.2,-0.43,-0.38,-0.88,-0.84,-1.1
19910304,0.66,0.43,0.69,-0.06,-0.25,-0.41
19910305,0.97,1.01,1.14,0.79,1.03,1.05
19910306,0.47,0.76,0.84,0.63,0.79,0.86
19910307,0.06,0.02,0.1,0.05,-0.07,-0.17
19910308,0.15,-0.13,-0.11,-0.15,-0.18,0.27
19910311,-0.23,-0.33,-0.5,-0.78,-0.92,-0.83
19910312,0.03,0.16,0.1,0.34,0.31,0.59
19910313,0.04,0.13,0.06,-0.25,-0.23,-0.2
19910314,0.26,0.47,0.57,0.7,0.51,0.73
19910315,-0.45,-0.45,-0.54,-0.15,-0.31,0.22
19910318,-0.58,-0.71,-0.85,-0.89,-0.7,-0.33
19910319,-0.9,-0.93,-1.14,-1.03,-1.28,-1.13
19910320,-0.25,-0.25,0.01,-0.89,-0.84,-1.04
19910321,0.53,0.55,0.53,0.58,0.5,0.51
19910322,-0.1,-0.2,-0.06,-0.2,-0.08,0.32
19910325,-0.85,-0.91,-1.13,-0.7,-0.71,-0.96
19910326,0.29,0.37,0.22,0.11,0.29,0.65
19910327,-0.26,0.07,-0.14,-0.48,-0.36,-0.53
19910328,0.25,0.25,0.14,-0.29,-0.21,-0.42
19910329,0.28,0.35,0.49,0.35,0.4,0.38
19910401,0.23,0.48,0.5,-0.08,-0.12,-0.36
19910402,1.05,1.12,1.15,1.68,1.73,2.18
19910403,0.99,0.96,0.89,1.22,1.15,1.22
19910404,0.67,0.73,0.54,0.83,0.56,0.66
19910405,-0.19,-0.26,-0.28,-0.3,-0.4,-0.72
19910408,-0.22,-0.28,-0.25,-0.12,-0.29,-0.2
19910409,0.59,0.55,0.68,0.23,0.11,-0.04
19910410,-0.51,-0.54,-0.48,-0.89,-0.73,-0.73
19910411,0.72,0.52,0.65,0.81,0.7,0.69
19910412,0.35,-0.04,0.09,0.33,0.37,0.41
19910415,0.48,0.71,0.61,0.73,0.99,1.16
19910416,0.29,0.34,0.34,0.36,0.39,0.67
19910417,0.44,0.24,0.28,0.1,0.22,0.13
19910418,-0.66,-0.79,-0.83,-0.88,-0.91,-1.08
19910419,-1.29,-1.47,-1.5,-1.86,-1.72,-1.81
19910422,-1.66,-1.51,-1.62,-1.76,-1.65,-1.62
19910423,0.52,0.53,0.67,1.06,1.12,0.88
19910424,0.04,0,-0.2,-0.31,-0.23,-0.26
19910425,-0.35,-0.3,-0.08,-0.8,-0.64,-0.77
19910426,-0.3,-0.35,-0.25,-0.33,0.01,-0.05
19910429,-0.48,-0.35,-0.32,-0.27,-0.29,-0.29
19910430,0.49,0.43,0.92,0.88,0.97,0.96
19910501,0.58,0.37,0.48,0.96,0.91,1.14
19910502,0.29,0.3,0.15,0.23,0.08,-0.12
19910503,-0.34,-0.53,-0.57,-0.55,-0.47,-0.31
19910506,0.21,0.12,0.3,0.34,0.16,-0.05
19910507,0.55,0.47,0.57,0.14,0.22,0.08
19910508,-0.27,-0.17,-0.22,-0.47,-0.42,-0.47
19910509,0.27,-0.04,0.24,0.18,0.25,0.28
19910510,0.03,0.09,0.08,-0.25,-0.2,-0.34
19910513,-0.13,0.06,0.1,-0.35,-0.4,-0.37
19910514,-0.14,-0.06,0.01,-0.43,-0.13,-0.07
19910515,-0.74,-0.61,-0.61,-0.37,-0.36,-0.5
19910516,0.09,-0.08,0.1,0.13,0.17,0.27
19910517,-0.94,-0.82,-1.05,-0.71,-0.61,-0.73
19910520,-0.33,-0.1,0.04,-0.18,-0.02,-0.07
19910521,0.48,0.44,0.75,0.7,0.76,0.86
19910522,-0.2,-0.21,-0.19,-0.22,-0.27,-0.22
19910523,0.2,0.34,0.29,0.45,0.4,0.43
19910524,0.17,0.18,0.08,0.05,0.08,-0.01
19910527,-0.08,0,-0.01,-0.1,-0.05,-0.07
19910528,0.41,0.5,0.4,0.8,0.4,0.54
19910529,0.08,-0.09,-0.08,-0.07,0.1,-0.06
19910530,0.36,0.33,0.28,0.46,0.53,0.75
19910531,0.25,-0.06,-0.1,0.43,0.45,0.19
19910603,0.04,0.21,0.11,-0.1,0.03,-0.47
19910604,0.05,0.11,0.13,-0.14,-0.23,-0.31
19910605,-0.32,-0.2,-0.3,-0.59,-0.64,-0.59
19910606,-0.23,-0.33,-0.33,-0.3,-0.39,-0.53
19910607,-0.62,-0.69,-0.78,-0.93,-1.1,-0.96
19910610,-0.43,-0.23,-0.37,-1.09,-0.9,-1.06
19910611,-0.11,-0.09,-0.01,0.41,0.58,0.59
19910612,-1.05,-0.92,-0.84,-1.16,-1.01,-0.91
19910613,0.1,-0.07,-0.01,0.3,0.2,0.49
19910614,0.64,0.64,0.58,0.79,0.89,0.97
19910617,-0.11,-0.06,-0.07,-0.47,-0.48,-0.52
19910618,-0.62,-0.55,-0.62,-0.81,-0.65,-0.7
19910619,-0.58,-0.36,0,-0.9,-0.67,-1.12
19910620,-0.09,-0.06,0.02,0.29,0.36,0.42
19910621,0.09,-0.04,-0.02,0.13,0.34,0.56
19910624,-0.81,-0.61,-0.52,-1.14,-1.11,-1.26
19910625,-0.74,-0.58,-0.89,-0.34,-0.04,0.12
19910626,0.25,0.11,0.11,-0.03,0.2,0.07
19910627,-0.2,-0.22,0.11,-0.11,0.01,-0.05
19910628,-0.28,-0.41,-0.52,-1.04,-0.95,-0.87
19910701,0.41,0.35,0.27,1.28,1.41,1.83
19910702,-0.3,-0.23,-0.31,-0.52,-0.41,-0.1
19910703,-0.96,-0.88,-0.68,-1.61,-1.58,-1.57
19910704,-0.43,-0.35,-0.39,-0.58,-0.45,-0.07
19910705,0.07,0.2,0.3,0,0.51,0.27
19910708,-0.45,-0.34,-0.04,-1.13,-0.68,-0.62
19910709,-0.31,-0.13,0.07,0.4,0.38,0.58
19910710,0.8,0.62,0.6,1.23,1.04,1.1
19910711,-0.1,-0.1,-0.2,-0.2,-0.04,-0.12
19910712,1.37,1.37,1.71,1.58,1.52,1.29
19910715,0.76,0.58,0.58,0.97,0.87,0.88
19910716,-0.06,-0.13,-0.12,-0.2,-0.38,-0.46
19910717,0.08,0.04,0.1,-0.12,-0.12,-0.35
