,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
20151103,0.73,0.88,1.08,0.63,0.33,0.22
20151104,0.4,-0.16,-0.8,-0.2,-0.14,-0.48
20151105,-0.61,0.31,-0.17,-0.63,-0.03,0.11
20151106,0.64,0.95,0.69,0.65,0.1,0.07
20151109,-0.73,-1.35,-1.71,-0.61,-0.86,-1.19
20151110,-0.58,0.01,-0.49,-0.14,0.12,0.22
20151111,-1.01,-0.8,-1.45,-0.98,-0.84,-0.74
20151112,-1.68,-1.67,-1.97,-1.9,-1.84,-1.71
20151113,-0.49,-0.49,-0.98,-0.33,-0.81,-1.21
20151116,0.17,0.7,0.55,0.86,1.52,1.25
20151117,-0.56,-0.42,-0.76,-0.44,-0.41,-0.19
20151118,0.81,0.99,1.63,1.99,1.53,1.7
20151119,0.04,-0.3,-0.64,-0.54,-0.34,-0.11
20151120,0.47,0.55,0.78,0.17,0.29,0.37
20151123,0.86,0.18,0.5,-0.03,0.12,0.39
20151124,0.72,0.91,1.21,0.85,0.55,0.36
20151125,1.01,0.77,1,0.54,0.17,0.35
20151127,0.77,0.26,0.15,0.11,0.07,-0.01
20151130,0.22,0.09,-0.37,-0.35,-0.34,-0.45
20151201,0.35,0.34,0.29,1,0.76,0.76
20151202,-0.92,-0.88,-0.8,-1.08,-1.18,-1.13
20151203,-1.23,-1.07,-1.52,-1.88,-1.54,-1.42
20151204,0.15,0.52,0.43,1.07,1.22,1.25
20151207,-2.27,-1.64,-2.09,-2.32,-1.31,-0.71
20151208,-0.07,-0.66,-0.4,-0.32,-0.78,-0.68
20151209,-0.92,-0.65,-0.51,-0.68,-0.8,-0.67
20151210,0.62,0.15,0.81,0.66,0.33,0.26
20151211,-2.33,-1.86,-2.71,-2.71,-1.95,-2.16
20151214,-1.42,-0.57,-1.31,-0.86,-0.39,-0.38
20151215,0.91,1.18,1.03,1.66,1.27,1.01
20151216,1.53,0.86,1.36,2.07,1.2,1.27
20151217,-0.44,-0.82,-1.29,-1.57,-1.47,-1.73
20151218,0.04,-0.75,-1.28,-1.33,-1.42,-1.33
20151221,0.52,0.38,0.45,0.91,0.69,0.72
20151222,0.49,0.88,0.91,0.79,1.13,1.06
20151223,1.66,1.36,2.32,1.97,1.77,1.62
20151224,0.24,0.27,0.25,0.21,-0.05,-0.08
20151228,-1.22,-0.8,-1.34,-0.76,-0.47,-0.47
20151229,0.71,1.11,0.85,1.01,0.94,0.91
20151230,-0.7,-0.73,-1.04,-0.9,-0.83,-0.85
20151231,-0.17,-0.71,-0.35,-0.36,-0.76,-0.67
20160104,-1.6,-1.73,-1.72,-1.66,-1.22,-1.19
20160105,-0.06,-0.05,-0.36,-0.27,-0.09,0.07
20160106,-1.61,-0.96,-1.87,-2.65,-1.88,-1.79
20160107,-3.21,-2.32,-3.17,-3.43,-2.43,-2.29
20160108,-1.47,-1.34,-1.77,-1.2,-1.28,-1.16
20160111,-1.8,-0.66,-1.11,-1.69,-0.47,-0.41
20160112,-0.45,-0.2,-0.87,0.42,0.36,0.56
20160113,-3.45,-2.72,-3.09,-3.85,-2.68,-2.89
20160114,1.63,1.32,1.31,1.77,1.6,1.12
20160115,-2.19,-1.77,-2.28,-2.4,-1.92,-1.77
20160119,-1.91,-1.43,-1.98,-1.91,-0.83,-0.71
20160120,0.49,0.34,0.13,-0.34,-0.57,-0.44
20160121,1.08,0.35,1.37,0.56,0.44,0.97
20160122,2.5,1.89,2.65,2.85,2.34,1.97
20160125,-1.9,-2.2,-2.82,-2.83,-2.3,-2.09
20160126,1.39,2.14,2.66,2.05,2.13,2.12
20160127,-1.04,-0.93,-1.41,-1.23,-0.7,-0.98
20160128,-0.08,0.82,0.34,-0.35,0.16,-0.12
20160129,2.28,2.89,3.42,2.83,3.11,2.95
20160201,0,-0.43,-0.25,-0.18,-0.06,0.26
20160202,-1.98,-1.93,-2.52,-3.63,-2.27,-2.36
20160203,0.14,0.29,0.17,0.74,1.13,0.78
20160204,0.85,0.52,0.81,1.22,0.83,0.91
20160205,-2.47,-2.08,-2.34,-3.69,-2.15,-1.97
20160208,-2.79,-0.64,-1.43,-4.11,-2.12,-2.15
20160209,-1.05,-0.71,-1.29,-0.57,-0.46,-0.12
20160210,-0.22,-0.03,-0.26,-0.09,0.25,0.14
20160211,-0.9,-1.03,-1.33,-1.56,-1.55,-1.28
20160212,1.86,1.77,2.41,2.78,2.13,2.14
20160216,2.14,1.67,2.45,3.07,2.38,2.31
20160217,2.29,1.12,2.6,3.31,2.05,2.13
20160218,-0.84,-0.28,-0.59,-0.91,-0.57,-0.38
20160219,0.23,0.18,-0.02,0.31,0,-0.5
20160222,1.35,1.24,1.77,1.95,1.8,1.67
20160223,-1.18,-0.96,-1.01,-1.71,-1.42,-0.86
20160224,0.77,0.87,1.02,0.64,0.54,0.81
20160225,0.46,0.54,0.72,1.46,0.9,1.04
20160226,1.16,0.91,0.9,1.74,0.63,0.5
20160229,-0.14,0.17,0.65,-0.54,-0.63,-0.38
20160301,1.67,1.68,1.55,2.62,2.27,2.13
20160302,1.95,1.24,1.65,1.8,1.26,0.64
20160303,0.75,1.22,2.22,1.14,1.24,1.41
20160304,0.73,1.1,1.45,0.73,0.69,0.62
20160307,3.16,1.64,1.77,1.27,0.57,0.75
20160308,-2.35,-2.04,-2.9,-2.97,-1.95,-1.87
20160309,0.78,0.77,1.08,0.44,0.51,0.52
20160310,-1.13,-0.76,-0.88,-0.54,-0.04,-0.17
20160311,1.59,1.83,2.36,3.06,2.03,2.01
20160314,0.43,-0.55,-0.34,-0.04,-0.34,-0.33
20160315,-1.85,-1.22,-2.03,-1.78,-0.74,-0.77
20160316,0.21,0.61,1.49,0.95,1.02,1.08
20160317,1.2,1.61,1.69,1.04,0.97,1.04
20160318,0.83,0.78,1.15,0.8,0.77,0.67
20160321,0.51,-0.12,0.08,0.2,-0.01,0.02
20160322,0,-0.41,-0.62,0.27,-0.08,0
20160323,-2.44,-1.6,-2.52,-2.73,-1.27,-1.23
20160324,0.44,0.38,0.43,0.17,0.2,-0.11
